food,category,serving_size,fullness_factor,completeness_score,calories,total_carbs,dietary_fibre,starch,sugars,total_fat,saturated_fat,monosaturated_fat,polysaturated_fat,protien,water,source
"Abiyuch, raw",fruits and fruit juices,100,2.9,45,69.007515,17.601196,5.2999988,0,8.548654,0.10000421,0.013999227,0,0,1.4999374,79.893936,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2090/0
"Acerola juice, raw",fruits and fruit juices,100,4.5,63,23.001692,4.800629,0.29997736,0,4.500395,0.29997736,0.06800502,0.08200398,0.08999106,0.399974,94.297844,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1808/0
"Acerola, (west indian cherry), raw",fruits and fruit juices,100,4.3,57,32.002308,7.691185,1.0998687,0,0,0.29997736,0.06800502,0.08200398,0.08999106,0.399974,91.40483,https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1807/0
Acorn stew (Apache),ethnic foods,100,2.7,45,94.99714,9.219051,0.70000964,6.5708833,0.34003833,3.4702315,1.2801034,1.6801622,0.296995,6.8094444,79.791336,https://nutritiondata.self.com/facts/ethnic-foods/9999/0
Adobo fresco,soups sauces and gravies,100,1.5,22,270.97827,18.601126,1.3000101,0,2.0296798,20.901812,2.9099324,14.965297,2.0440817,1.9998937,22.103436,https://nutritiondata.self.com/facts/soups-sauces-and-gravies/7252/0
"Agave, cooked (Southwest)",ethnic foods,100,2.6,38,135.00063,32.002308,10.598385,0.23998661,20.868265,0.28999484,0,0,0,0.99009603,65.40304,https://nutritiondata.self.com/facts/ethnic-foods/10008/0
"Agave, dried (Southwest)",ethnic foods,100,2.5,38,341.05463,81.97374,15.598516,0.910096,50.694935,0.6899491,0,0,0,1.7101287,11.640731,https://nutritiondata.self.com/facts/ethnic-foods/10009/0
"Agave, raw (Southwest)",ethnic foods,100,3,54,67.99529,16.232433,6.6005054,0.23998661,2.5804005,0.15001008,0,0,0,0.5199749,81.84218,https://nutritiondata.self.com/facts/ethnic-foods/10007/0
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",ethnic foods,100,1,8,469.95386,10.500102,0,0,0,43.50673,8.600995,15.598516,17.29849,8.999572,33.994606,https://nutritiondata.self.com/facts/ethnic-foods/8075/0
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",ethnic foods,100,1.2,11,352.98117,13.399559,0.49995255,0,0,31.797358,7.7010756,14.399353,8.398926,3.3995953,47.29659,https://nutritiondata.self.com/facts/ethnic-foods/8074/0
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",ethnic foods,100,2.5,43,257.982,0.89990973,0,0,0,18.601126,5.099544,8.70105,3.5997064,21.70238,55.199535,https://nutritiondata.self.com/facts/ethnic-foods/8076/0
"Alcoholic beverage, beer, light",beverages,100,4.5,14,28.996819,1.6401428,0,0,0.08999106,0,0,0,0,0.23998661,94.87515,https://nutritiondata.self.com/facts/beverages/3828/0
"Alcoholic beverage, beer, light, BUD LIGHT",beverages,100,4.4,6,31.00055,1.8597789,0,0,0,0,0,0,0,0.25002137,94.99714,https://nutritiondata.self.com/facts/beverages/8006/0
"Alcoholic beverage, beer, light, BUDWEISER SELECT",beverages,100,4.5,5,27.999046,0.8700293,0,0,0,0,0,0,0,0.19998784,95.302795,https://nutritiondata.self.com/facts/beverages/9875/0
"Alcoholic beverage, beer, light, MICHELOB ULTRA",beverages,100,4.5,5,27.000887,0.72990394,0,0,0,0,0,0,0,0.17000008,95.394684,https://nutritiondata.self.com/facts/beverages/8007/0
"Alcoholic beverage, beer, regular, all",beverages,100,3.6,13,43.006485,3.5503116,0,0,0,0,0,0,0,0.4599603,91.96443,https://nutritiondata.self.com/facts/beverages/3827/0
"Alcoholic beverage, beer, regular, BUDWEISER",beverages,100,3.7,6,40.99647,2.9703975,0,0,0,0,0,0,0,0.35999107,92.76554,https://nutritiondata.self.com/facts/beverages/8005/0
"Alcoholic beverage, creme de menthe, 72 proof",beverages,100,1.3,0,371.00146,41.593414,0,0,41.593414,0.29997736,0.013999227,0.014999647,0.1670054,0,28.297445,https://nutritiondata.self.com/facts/beverages/3839/0
